序号,name,tag(推荐菜),district,机器判定,人工判定(对留空/错填:traditional|modern|excluded),备注
94,新太二·鲜料川菜(广州东圃天银广场店),"超下饭小炒牛肉,吮指鸡翅,石锅鸡爪,蒜香粉丝虾,沸腾麻婆豆腐,冰激凌糍粑,鸡蛋烧腐竹,辣椒炒肉,不辣的鲈鱼酸菜鱼,毛血旺,五花肉炒菜花,招牌鲈鱼酸菜鱼,爆炒鲜牛肉,生焗蒜蓉粉丝虾,菜籽油爆炒鲜土鸡,双人餐",天河区,other_chicken,,
95,四川鸡公煲(秀全街学府路广城理店),,花都区,modern,,
96,秋盈手撕鸡店(渔沙坦市场店),手撕鸡,天河区,traditional,,
97,麻爪爪(广州黄埔万科尚城御府店),"鸡爪,全家桶",黄埔区,other_chicken,,
98,新味烧鸡,烧鸡,增城区,other_chicken,,
99,雄耀记美食,火锅鸡,白云区,other_chicken,,
100,金点酒家·始于1998(三元里卜蜂莲花店),"点心,特色菜,肠粉,酸菜鱼,大肠,烧鹅,传统濑粉,金点虾饺皇,金点白切鸡,澳门黑金叉烧,三丝炸春卷",白云区,traditional,,
101,悦滋味(同福中路),"牛三星汤,牛羊杂汤,油菜,特色叉烧面,新鲜猪杂粥,鱼旦粉,咖哩鸡扒饭,芝麻糊,牛腩粉,韭菜煎饺,石磨拉肠,滑蛋炒叉燒,生滚粥,猪油捞面,云吞,牛腩,肠粉,牛肉饭",海珠区,other_chicken,,
102,极鲜100%顺德桑拿鸡,,番禺区,other_chicken,,
103,富丰食品湛江白切鸡(番禺万达店),,番禺区,traditional,,
104,遇见小面(新港西路店),"酸菜卤肉面,老麻抄手,爆浆豆腐串(2串),琥珀冰粉,阳光番茄牛肉面,脆皮半只鸡麻辣小面,内蒙古羔羊羊肉串(3串),酥脆鸡排(1块),川味酸菜牛肉面,酸菜卤肉饭,酥掉渣芝麻烧饼(1个),金碗酸辣粉,脆皮半只鸡阳光番茄汤面,葱酥骨汤抄手,白玉厚椰乳,秘制脆皮半只鸡,销魂擂椒卤肉面,炒饭,酸辣粉",海珠区,modern,,
105,广味炭炉鸡煲,,黄埔区,other_chicken,,
106,椰享拾光·原生态椰子鸡(亿达方圆荟店),椰子鸡,白云区,modern,,
107,滚八秒·潮汕创新鸡炉·卤水火锅(东晓·胜汇里店),"鹅粉肝,清远麻黄鸡,雪花牛肉,美蛙,鸡炉,卤水火锅",海珠区,other_chicken,,
108,泉记阳山鸡,阳山鸡,番禺区,other_chicken,,
109,化州香油鸡(陈记·钟村店),,番禺区,other_chicken,,
110,上好饭9.9排骨饭(市桥店),"排骨饭,虫草花老鸡汤,湘辣剁椒排骨饭,奥尔良小鸡腿,招牌豉汁排骨饭,超值单人餐,排骨/冬菇滑鸡,窝蛋瘦肉饭,蒸水蛋,腊肠排骨饭,霸王花龙骨汤,单人餐,双人餐",番禺区,other_chicken,,
111,新榕记富士山(荔湾店),"鱼粥,无骨鱼,桑拿鸡",荔湾区,other_chicken,,
112,强鸽来袭·靓鸡(龙津中路店),鸡肉,荔湾区,other_chicken,,
113,荔园窑鸡(花都总店),窑鸡,花都区,other_chicken,,
114,悦运喜宴·粤西第一鸡,,番禺区,other_chicken,,
115,怀集果园鸡档,,番禺区,other_chicken,,
116,华辉拉肠(同和站店),"香辣排骨饭,萝卜膏,窝蛋猪润粥,玻璃秘制叉烧肠,猪肝肠粉,双皮奶,香葱鸡肉肠,香菇瘦肉肠粉,肉肠,精选新鲜生鱼片粥,面豉酱,荷香鸡饭,腊肠滑鸡饭,牛腩,牛肉粥窝了,肠粉,单人餐,皮蛋瘦肉粥",白云区,other_chicken,,
117,洞蜜园港式茶餐厅(东沙路店),"菠萝油,烧春鸡,牛肉通粉,葡式鸡饭,港式奶茶,姜蜜鸭胸,泡菜,烧鸭汤河粉,窝蛋牛肉笼仔饭,叉烧单蛋面,西多士,肥牛金菇盒饭,湿炒牛河,猪排饭,冻奶茶",番禺区,other_chicken,,
118,梨花寨·鲜烫鸡汤米线(云升科学园店),"里脊肉,鸡汤米线,破酥包",黄埔区,other_chicken,,
119,蔡记白切鸡自选快餐档,"白切鸡,自选快餐",越秀区,traditional,,
120,大榕树下顺德菜(奥园广场店),"老广腊味煲仔饭,鲍汁海皇豆腐,顺德公煎酿莲藕,鲜人参海底椰炖老鸡,石橄榄炖土猪肉,均安墨鱼饼,咸蛋黄啫鲜虾,脆皮BB鸽,顺德豉味碌鹅,大良炸脆奶,上汤桑叶苗,鹿茸菌炖竹丝鸡,六婶黄皮骨,山楂红烧肉,杂菇浸鱼腐,黄豆苦瓜炖龙骨,顺德捞鱼皮,古法菠萝咕噜肉,七彩捞鸡,酸菜炒大肠,双人餐",番禺区,other_chicken,,
121,老三土鸡档,土鸡,番禺区,other_chicken,,
122,英姐百草药膳鸡煲,,增城区,other_chicken,,
123,窑鸡王(雅乐城店),"盐焗三宝,盐焗鸡爪,卤香鸭肠,卤香鹌鹑蛋,招牌窑鸡（整只）,招牌窑鸡,腊味饭,盐焗鸡心,卤香藕片,卤香三结义,卤香鸭脖,双人餐",花都区,traditional,,
124,窑鸡王(乐嘉路店),"鸡肉,双人餐",白云区,other_chicken,,
125,广式炭炉鸡煲(贝岗店),鸡煲,番禺区,other_chicken,,
126,三叔公化州香油鸡(南沙壁珑湾店),香油鸡,南沙区,other_chicken,,
127,鸿兴手撕鸡,手撕鸡,增城区,traditional,,
128,麦当劳(新市餐厅),"家有金桶（脆鸡版）,麦辣美味三件套,原味板烧鸡腿麦满分组合,麦当劳超值嗨餐,（2-3人餐）,麦辣鸡腿堡,安格斯系列,巨无霸汉堡,板烧美味三件套,大脆鸡扒麦满分组合,人气美味尽享套餐,可乐鸡翅,家有金桶（汉堡版）,双人餐,薯条,汉堡,鸡翅",白云区,other_chicken,,
129,S-pizza披萨速递(大石店),"香辣烤鸡腿肉披萨,酸奶黄桃披萨,意式番茄肉酱披萨,金色夏威夷披萨,意大利肉酱面,法兰西芝士条披萨,奥尔良烤鸡腿肉披萨,手作黑椒牛肉意面,披萨",番禺区,modern,,
130,华通广场碳烤鸡翅,,白云区,modern,,
131,古真记钵钵鸡(金海岸城市广场店),,增城区,other_chicken,,
132,铁锅年代·地锅鸡(朱村店),地锅鸡,增城区,other_chicken,,
133,威邵鸡煲(彩虹分店),鸡肉,荔湾区,other_chicken,,
134,常来小聚(国金天地店),"双人餐,家常菜,杨枝甘露,煲仔饭,牛肉,鸡肉,二十年老陈皮豉油鸡,孖宝腊味煲仔饭",天河区,traditional,,
135,椰白夏记椰子鸡(万博店),椰子鸡,番禺区,modern,,
136,湛江生蚝王荔枝木烧鸡(东粤长红商业街店),烧鸡,白云区,other_chicken,,
137,山林土窑鸡,土窑鸡,花都区,other_chicken,,
138,湛江鸡鸭饭店,湛江鸡,白云区,traditional,,
139,蔡师傅五指毛桃鸡,,增城区,other_chicken,,
140,赖氏脆皮烧鸡(广州分店),,白云区,other_chicken,,
141,黄焖鸡米饭,黄焖鸡米饭,番禺区,modern,,
142,椰鲜笙·竹笙椰子鸡(时尚天河中一街店),,天河区,modern,,
143,江记正宗柳州脆皮手撕鸡,"原味下庄饭,香辣半只手撕鸡,原味手撕鸡饭（不辣）,香辣下庄饭,麻辣下庄饭,麻辣半只手撕鸡,麻辣手撕鸡饭,原味上庄饭,原味半只手撕鸡,香辣手撕鸡饭,香辣上庄饭,手撕鸡",白云区,traditional,,
144,东江海南鸡饭(南洲北路店),海南鸡饭,海珠区,other_chicken,,
145,囍饭茶餐厅(广钢店),鸡扒,荔湾区,other_chicken,,
146,芳村榕树头叹佬鸡煲(芳村总店),"大排档,鸡肉,双人餐",荔湾区,other_chicken,,
147,麦当劳(大石城分店餐厅),"可乐鸡翅,大脆鸡扒麦满分组合,人气美味尽享套餐,原味板烧鸡腿麦满分组合,家有金桶（脆鸡版）,麦辣美味三件套,麦当劳超值嗨餐,（2-3人餐）,家有金桶（汉堡版）,板烧美味三件套,麦辣鸡腿堡,安格斯系列,巨无霸汉堡,双人餐,汉堡,薯条",番禺区,other_chicken,,
148,森记湛江鸡鸭仔饭店(宦溪店),"鸭仔饭,湛江鸡",天河区,traditional,,
149,麦当劳(信德商务大厦分店餐厅),"可乐鸡翅,大脆鸡扒麦满分组合,人气美味尽享套餐,麦当劳超值嗨餐,（2-3人餐）,原味板烧鸡腿麦满分组合,板烧美味三件套,麦辣美味三件套,家有金桶（脆鸡版）,麦辣鸡腿堡,安格斯系列,巨无霸汉堡,家有金桶（汉堡版）,双人餐,汉堡,薯条,下午茶,鸡翅",越秀区,other_chicken,,
150,家家福·隆江猪脚饭,"猪脚饭,烧腊,烧鸭,白切鸡,卤鸡腿,叉烧,猪脚",增城区,traditional,,
151,小窑记窑鸡(长寿东路店),窑鸡,荔湾区,other_chicken,,
152,荔园窑鸡,,花都区,other_chicken,,
153,大马新文叙·海南鸡饭专门店(珠影星光城),海南鸡饭,海珠区,other_chicken,,
154,豪正鸡翅包饭(雅乐城店),"宵夜,羊肉串,鸡翅",花都区,other_chicken,,
155,煲仔吉·老广州煲仔饭(白云区东平店),"煲仔,排骨拼滑鸡煲仔饭",白云区,other_chicken,,
156,好客来酒家,手撕鸡,白云区,traditional,,
157,小鱼号酸菜鱼(白云嘉禾店),"柠檬酸汤无骨鱼,东北铁锅鸡,川香水煮肉片,老坛酸菜黑鱼,维C,番茄肥牛,麻辣烤鱼,单人餐,双人餐,酸菜鱼",白云区,other_chicken,,
158,御手信,"鸡仔饼,肉松蛋糕,老婆饼,手工鸡蛋卷,光酥饼,老佛手,红豆酥,蛋挞,点心,菠萝包,鸡仔饼",海珠区,other_chicken,,
159,荔枝炭烧鸡,,花都区,other_chicken,,
160,星伙畔,"肉饼蒸饭,香煎鸡扒饭,柠檬茶,单人餐",番禺区,other_chicken,,
