id,name,name_norm,label,match_source,district,address,typecode,type,tag,lng,lat
B0FFHGX2VU,窑鸡王(客村店),窑鸡王,traditional,招牌,海珠区,新港西路景悦街2-26号1060号铺,050100,餐饮服务;中餐厅;中餐厅,"招牌窑鸡（整只）,招牌窑鸡,腊味饭,盐焗鸡心,卤香藕片,卤香三结义,盐焗三宝,盐焗鸡爪,卤香鸭肠,卤香鹌鹑蛋,卤香鸭脖,双人餐,鸡肉",113.306239,23.095604
B0LR9CQSL5,朴正喜韩式炸鸡(海珠店),朴正喜韩式炸鸡,modern,招牌,海珠区,新港西路212号1046号,050300,餐饮服务;快餐厅;快餐厅,韩式炸鸡,113.305698,23.095852
B0JGLCHUID,湘韵吊锅子敦和店,湘韵吊锅子敦和店,traditional,推荐菜,海珠区,敦和路98号,050000,餐饮服务;餐饮相关场所;餐饮相关,"走地鸡,辣椒炒肉,美蛙鱼,蛙蛙,青椒擂皮蛋,擂辣椒皮蛋",113.309623,23.092973
B0LG77267Y,港红茶室·絲襪奶茶·雞蛋仔(鹭江店),港红茶室·絲襪奶茶·雞蛋仔,non_chicken,,海珠区,新港西路212号愉景南苑(鹭江地铁站D口步行450米),050600,餐饮服务;茶艺馆;茶艺馆,,113.305742,23.095966
B0I2R5TX06,阅西鸡饭·湛江鸡(客村店),阅西鸡饭·湛江鸡,traditional,招牌,海珠区,华新一街17号101铺,050100,餐饮服务;中餐厅;中餐厅,"湛江鸡,鸡饭",113.309019,23.099467
B0MBNOUD4X,炸鸡研究所,炸鸡研究所,modern,招牌,海珠区,江贝东海大街与广州大道南交叉口东北60米,050300,餐饮服务;快餐厅;快餐厅,炸鸡,113.310782,23.093408
B0K12UCWN6,李小二冒菜烧鸡,李小二冒菜烧鸡,other_chicken,招牌,海珠区,广州大道南725号,050000,餐饮服务;餐饮相关场所;餐饮相关,烧鸡,113.310602,23.09498
B0G0COZH6P,鸡羊鱼火锅店,鸡羊鱼火锅店,other_chicken,招牌,海珠区,墩和路173号自编8号,050117,餐饮服务;中餐厅;火锅店,鱼火锅,113.312525,23.091399
B0FFFZE3NC,海记化州鸡烧腊快餐,海记化州鸡烧腊快餐,other_chicken,招牌,海珠区,江贝村东海大街南13号之1号,050100,餐饮服务;中餐厅;中餐厅,烧腊快餐,113.3131,23.092984
B0MB57KQS3,新成记海南鸡饭店,新成记海南鸡饭店,modern,招牌,海珠区,桂田村南约东六巷与江贝东海大街交叉口南60米,050100,餐饮服务;中餐厅;中餐厅,海南鸡饭,113.31208,23.092606
B0JULYGGSM,新沟付鸡子面馆(鹭江店),新沟付鸡子面馆,other_chicken,招牌,海珠区,鹭江东约新街与鹭江南约大街交叉口北40米,050100,餐饮服务;中餐厅;中餐厅,,113.306779,23.091422
